workclass = State-gov,workclass = Self-emp-not-inc,workclass = Private,workclass = Federal-gov,workclass = Local-gov,workclass = Self-emp-inc,workclass = Without-pay,workclass = Never-worked,education = Bachelors,education = HS-grad,education = 11th,education = Masters,education = 9th,education = Some-college,education = Assoc-acdm,education = Assoc-voc,education = 7th-8th,education = Doctorate,education = Prof-school,education = 5th-6th,education = 10th,education = 1st-4th,education = Preschool,education = 12th,income = <=50K,income = >50K,marital-status = Never-married,marital-status = Married-civ-spouse,marital-status = Divorced,marital-status = Married-spouse-absent,marital-status = Separated,marital-status = Married-AF-spouse,marital-status = Widowed,occupation = Adm-clerical,occupation = Exec-managerial,occupation = Handlers-cleaners,occupation = Prof-specialty,occupation = Other-service,occupation = Sales,occupation = Craft-repair,occupation = Transport-moving,occupation = Farming-fishing,occupation = Machine-op-inspct,occupation = Tech-support,occupation = Protective-serv,occupation = Armed-Forces,occupation = Priv-house-serv,relationship = Not-in-family,relationship = Husband,relationship = Wife,relationship = Own-child,relationship = Unmarried,relationship = Other-relative,race = White,race = Black,race = Asian-Pac-Islander,race = Amer-Indian-Eskimo,race = Other,native-country = United-States,native-country = Cuba,native-country = Jamaica,native-country = India,native-country = Mexico,native-country = South,native-country = Puerto-Rico,native-country = others,native-country = England,native-country = Canada,native-country = Germany,native-country = Iran,native-country = Philippines,native-country = Italy,native-country = Poland,native-country = Columbia,native-country = Taiwan,native-country = Haiti,native-country = Dominican-Republic,native-country = El-Salvador,native-country = Guatemala,native-country = China,native-country = Japan,native-country = Vietnam,sex = Male,sex = Female,21 < age <= 24,24 < age <= 28,28 < age <= 31,31 < age <= 34,34 < age <= 37,37 < age <= 40,40 < age <= 44,44 < age <= 48,48 < age <= 52,52 < age <= 59,age <= 21,age > 59,10 < education-num <= 12,12 < education-num <= 14,3 < education-num <= 5,5 < education-num <= 7,7 < education-num <= 8,8 < education-num <= 10,education-num <= 3,education-num > 14,21 < hours-per-week <= 40,40 < hours-per-week <= 60,60 < hours-per-week <= 79,hours-per-week <= 21,hours-per-week > 79,11500 < capital-gain <= 21500,2000 < capital-gain <= 5700,21500 < capital-gain <= 64000,5700 < capital-gain <= 11500,capital-gain <= 2000,capital-gain > 64000,2000 < capital-loss <= 3100,900 < capital-loss <= 2000,capital-loss <= 900,capital-loss > 3100
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
